source,source_id,url,title,brand,model,cpu,ram_gb,storage_gb,gpu,screen_size_in,price_idr,original_price_idr,condition,seller_name,seller_rating,seller_num_reviews,seller_is_official,sold_count,location,scraped_at,is_suspected_scam,scam_reasons
tokopedia,102055947014,https://www.tokopedia.com/alienwareofficial/asus-vivobook-14-m1405ya-ryzen-7-7730-ryzen-5-7430-x-e1404fa-ryzen-5-7520-ryzen-3-7320-16gb-512gb-ssd-w11-ohs-m365b-14-0-inch-laptop-ultrabook-notebook-cocok-untuk-admin-kerja-kuliah-sekolah-kantor-office-work-1732139452364326163?extParam=ivf%3Dfalse%26keyword%3Dlaptop+asus%26search_id%3D20260829105837B83AAC23B95287061YK7%26src%3Dsearch,ASUS VIVOBOOK 14 M1405YA RYZEN 7 7730 RYZEN 5 7430 X E1404FA RYZEN 5 7520 RYZEN 3 7320 16GB 512GB SSD W11+OHS+M365B 14.0 INCH - LAPTOP ULTRABOOK NOTEBOOK COCOK UNTUK ADMIN KERJA KULIAH SEKOLAH KANTOR OFFICE WORK,Asus,M1405YA,AMD Ryzen 7 7730,16,512,,14.0,9399000,,new,AI Official Store,5.0,,False,1000,Jakarta Utara,2026-08-29T10:58:46.182159,False,
tokopedia,2041423306,https://www.tokopedia.com/hosanacomp/laptop-asus-a416jao-i3-1005g1-8gb-1tb-256gb-ssd-14-fhd-win10-ohs-4gb-1tb-256gb?extParam=ivf%3Dfalse%26keyword%3Dlaptop+asus%26search_id%3D20260829105837B83AAC23B95287061YK7%26src%3Dsearch,"LAPTOP ASUS A416JAO - i3 1005G1 8GB 1TB + 256GB SSD 14"" FHD WIN10 OHS",Asus,A416JAO,,8,256,,,7799000,,new,HOSANA COMPUTER,5.0,,False,2,Jakarta Pusat,2026-08-29T10:58:46.182469,False,
tokopedia,103085210719,https://www.tokopedia.com/royalltech/laptop-asus-vivobook-14-a1404va-intel-core-i3-1315-ram-8gb-512gb-ssd-w11-ohs-m365b-14-0fhd-1734533246867244535?extParam=ivf%3Dfalse%26keyword%3Dlaptop+asus%26search_id%3D20260829105837B83AAC23B95287061YK7%26src%3Dsearch,LAPTOP ASUS VIVOBOOK 14 A1404VA INTEL CORE I3 1315 RAM 8GB 512GB SSD W11+OHS+M365B 14.0FHD,Asus,A1404VA,Intel Core i3-1315,8,512,,,9399000,,new,royalltech,5.0,,False,30,Jakarta Utara,2026-08-29T10:58:46.182781,False,
tokopedia,100292160099,https://www.tokopedia.com/teknotrend/laptop-asus-vivobook-s14-s3407qa-snapdragon-x-x1-26-qualcomm-adreno-gpu-16gb-512gb-14inch-ohs24-1731354787170584514?extParam=ivf%3Dfalse%26keyword%3Dlaptop+asus%26search_id%3D20260829105837B83AAC23B95287061YK7%26src%3Dsearch,"Laptop ASUS VIVOBOOK S14 OLED M3407HA RYZEN 5 220 16GB 1TB W11+OHS+M365B 14"" WUXGA",Asus,M3407HA,AMD Ryzen 5 220,16,1024,,,17332500,,new,TeknoTrend ID,5.0,,False,250,Jakarta Pusat,2026-08-29T10:58:46.183096,False,
tokopedia,100520669093,https://www.tokopedia.com/gateway/asus-vivobook-s16-flip-oled-tp3604va-touch-core-i5-1335-16gb-1tb-ssd-w11-16-fhd-1731478598664095157?extParam=ivf%3Dfalse%26keyword%3Dlaptop+asus%26search_id%3D20260829105837B83AAC23B95287061YK7%26src%3Dsearch,"ASUS VIVOBOOK S16 FLIP OLED TP3604VA TOUCH CORE I5 1335 16GB 1TB W11 16"" FHD IPS LAPTOP",Asus,TP3604VA,Intel Core i5-1335,16,1024,,,11829000,,new,Gateway Indonesia Comp,5.0,,False,5,Jakarta Utara,2026-08-29T10:58:46.183399,False,
tokopedia,16489294854,https://www.tokopedia.com/gameridsurabaya/laptop-asus-vivobook-14-a1407qa-snapdragon-x-x1-26100-ram-16-gb-ssd-512-gb-windows-11-office-home-student-14-wuxga-1731051158758066131?extParam=ivf%3Dfalse%26keyword%3Dlaptop+asus%26search_id%3D20260829105837B83AAC23B95287061YK7%26src%3Dsearch,"Laptop ASUS Vivobook 14 A1407QA Snapdragon X X1 26100 RAM 16 GB SSD 512 GB Windows 11 + Office Home Student 14"" WUXGA",Asus,A1407QA,Qualcomm Snapdragon X X1 26100,16,512,,,11029000,,new,Gamer ID Surabaya,5.0,,False,5,Surabaya,2026-08-29T10:58:46.183839,False,
tokopedia,16390505386,https://www.tokopedia.com/laptopgrosirid/asus-vivobook-s15-oled-s5506ma-ultra-7-155h-16gb-1tb-intel-arc-15-6-3k-oled-1730970396220425278?extParam=ivf%3Dfalse%26keyword%3Dlaptop+asus%26search_id%3D20260829105837B83AAC23B95287061YK7%26src%3Dsearch,"Laptop Asus Vivobook S15 OLED S5506MA Ultra 7 155H 16GB 1TB Intel Arc 15.6"" 3K OLED",Asus,S5506MA,,16,1024,,,16279000,,new,Laptop Grosir ID,5.0,,False,13,Jakarta Selatan,2026-08-29T10:58:46.184150,False,
tokopedia,102720378628,https://www.tokopedia.com/agresidjakut/asus-vivobook-a1404vap-core-i5-120u-24gb-1tb-ssd-w-11-ohs-14-0-fhd-1733682016849069650?extParam=ivf%3Dfalse%26keyword%3Dlaptop+asus%26search_id%3D20260829105837B83AAC23B95287061YK7%26src%3Dsearch,[LAPTOP] ASUS VIVOBOOK 14 A1404VAP CORE I5 120U 16GB 512GB W11+OHS+M365B 14.0FHD VIPS GARANSI RESMI,Asus,A1404VAP,Intel Core i5-120U,16,512,,,12159000,,new,Agres ID Jakarta Utara,5.0,,False,4,Jakarta Pusat,2026-08-29T10:58:46.184424,False,
tokopedia,102192921303,https://www.tokopedia.com/pusatgaminglaptop/laptop-asus-tuf-a15-fa506ncg-ryzen-7-7445hs-rtx3050-4gb-ram-16gb-ssd-512gb-windows-11-15-6-inc-full-hd-ips-1732372214747203257?extParam=ivf%3Dfalse%26keyword%3Dlaptop+asus%26search_id%3D20260829105837B83AAC23B95287061YK7%26src%3Dsearch,LAPTOP ASUS TUF A15 FA506NCG RYZEN 7 7445HS RTX3050 4GB/ RAM 16GB SSD 512GB WINDOWS 11 15.6 INC FULL HD IPS,Asus,FA506NCG,AMD Ryzen 7 7445HS,16,512,RTX3050,,14269000,,new,PUSAT GAMING LAPTOP,5.0,,False,4,Bekasi,2026-08-29T10:58:46.184593,False,
tokopedia,103460841222,https://www.tokopedia.com/herlinacom/laptop-asus-vivobook-14-a1404vap-intel-core-i7-150u-ram-16gb-ssd-1tb-win-11-ohs-14-0fhd-ips-garansi-resmi-1733620005736383886-1735961438475945358?extParam=ivf%3Dtrue%26keyword%3Dlaptop+asus%26search_id%3D20260829105837B83AAC23B95287061YK7%26src%3Dsearch,Laptop Asus Vivobook 14 A1404VAP Intel Core I7 150U RAM 16GB SSD 1TB Win 11+OHS 14.0FHD IPS Garansi Resmi,Asus,A1404VAP,Intel Core i7-150U,16,1024,,,16069000,,new,Herlinacom,5.0,,False,4,Depok,2026-08-29T10:58:46.184700,False,
tokopedia,15851909520,https://www.tokopedia.com/technocentral/asus-vivobook-go-14-e1404fa-ryzen-5-7520-8gb-512gb-w11-ohs-14-0fhd-8-512-unit-only-b426c?extParam=ivf%3Dtrue%26keyword%3Dlaptop+asus%26search_id%3D20260829105837B83AAC23B95287061YK7%26src%3Dsearch,[BEST SELLER] LAPTOP ASUS VIVOBOOK GO 14 E1404FA RYZEN 5 7520 RAM 16GB SSD 512GB WINDOWS 11+OHS 14INCH FHD,Asus,E1404FA,AMD Ryzen 5 7520,16,512,,14.0,10929221,,new,Techno Central,5.0,,False,26,Bogor,2026-08-29T10:58:46.184909,False,
tokopedia,2054130736,https://www.tokopedia.com/hosanacomp/laptop-asus-a416jao-i3-1005g1-4gb-512gb-ssd-win10-ohs?extParam=ivf%3Dfalse%26keyword%3Dlaptop+asus%26search_id%3D20260829105837B83AAC23B95287061YK7%26src%3Dsearch,LAPTOP ASUS A416JAO - I3 1005G1 4GB 512GB SSD WIN10 + OHS,Asus,A416JAO,,4,512,,,6699000,,new,HOSANA COMPUTER,5.0,,False,4,Jakarta Pusat,2026-08-29T10:58:46.185161,False,
tokopedia,103512776449,https://www.tokopedia.com/technosify/asus-expertbook-p5-p5405csa-nz7310ws-laptop-ultra-7-258v-1tb-32gb-lpddr5x-intel-arc-140v-14-wqxga-windows-11-home-office-2024-3-year-warranty-sleeve-1731876070260704679-1736187031784293799?extParam=ivf%3Dfalse%26keyword%3Dlaptop+asus%26search_id%3D20260829105837B83AAC23B95287061YK7%26src%3Dsearch,"Asus Expertbook P5 P5405CSA NZ7310WS Laptop Ultra 7 258V 1TB 32GB LPDDR5X Intel Arc 140V 14"" WQXGA Windows 11 Home + Office 2024 - 3 Year Warranty + Sleeve",Asus,P5405CSA,,32,1024,,,26086655,,new,technosify,5.0,,False,8,Surabaya,2026-08-29T10:58:46.185715,False,
tokopedia,2141499138,https://www.tokopedia.com/vortexindocomputer/asus-rog-240-watt-notebook-adapter-original-120cm-output-20-0v-12-0a-240-0w-dc-plug-type-6phi-zephyrus-srix-strix-scar-tuf-gaming-1729826449846470313?extParam=ivf%3Dfalse%26keyword%3Dlaptop+asus%26search_id%3D20260829105837B83AAC23B95287061YK7%26src%3Dsearch,Laptop ASUS ExpertBook P1 (P1403) Core 5 210H 8GB 512GB Microsoft Office Home & Student 2024 3 Year,Asus,P1403,Intel Core i5-210H,8,512,,,13799000,,new,Vortexindo.Computer,5.0,,False,1,Jakarta Pusat,2026-08-29T10:58:46.185877,False,
tokopedia,102938427324,https://www.tokopedia.com/houseofit/laptop-tkdn-asus-expertbook-bg1409cva-s67850w-i7-1355u-8gb-512gb-w11-14fhd-asus-expertbook-b1-bg1409cva-s67850w-asus-bg1409cva-i7-1734212279282402785?extParam=ivf%3Dfalse%26keyword%3Dlaptop+asus%26search_id%3D20260829105837B83AAC23B95287061YK7%26src%3Dsearch,Laptop TKDN ASUS ExpertBook BG1409CVA-S67850W i7 1355U 8GB 512GB W11 14FHD - ASUS EXPERTBOOK B1 BG1409CVA-S67850W - Asus BG1409CVA i7,Asus,BG1409CVA-S67850W,Intel Core i7-1355U,8,512,,,15999000,,new,House Of IT,5.0,,False,2,Jakarta Pusat,2026-08-29T10:58:46.186424,False,
tokopedia,8177595222,https://www.tokopedia.com/zxcomputer/laptop-asus-a1404va-x1404va-intel-core-i5-1334u-8gb-512gb-ssd-14-0-full-hd-intel-iris-xe-windows-11-1731241390106314172?extParam=ivf%3Dfalse%26keyword%3Dlaptop+asus%26search_id%3D20260829105837B83AAC23B95287061YK7%26src%3Dsearch,"LAPTOP ASUS A1404VA/X1404VA Intel Core i5-1334U 8GB/512GB SSD 14.0"" Full HD Intel Iris Xe Windows 11",Asus,A1404VA,Intel Core i5-1334U,,512,,,10799000,,new,ZX COMPUTER,5.0,,False,3,Jakarta Pusat,2026-08-29T10:58:46.186643,False,
tokopedia,1305374303,https://www.tokopedia.com/hosanacomp/laptop-asus-a409ja-i3-1005g1-4gb-512gb-ssd-14-win10-backlit?extParam=ivf%3Dfalse%26keyword%3Dlaptop+asus%26search_id%3D20260829105837B83AAC23B95287061YK7%26src%3Dsearch,"LAPTOP ASUS A409JA i3 - 1005G1 4GB 512GB SSD 14"" WIN10 BACKLIT",Asus,A409JA,,4,512,,,6188000,,new,HOSANA COMPUTER,5.0,,False,1,Jakarta Pusat,2026-08-29T10:58:46.186795,False,
tokopedia,1131494107,https://www.tokopedia.com/hosanacomp/laptop-asus-a409ja-i3-1005g1-4gb-1tb-256gb-ssd-14-w10-backlit?extParam=ivf%3Dfalse%26keyword%3Dlaptop+asus%26search_id%3D20260829105837B83AAC23B95287061YK7%26src%3Dsearch,"LAPTOP ASUS A409JA - I3 - 1005G1 4GB 1TB + 256GB SSD 14"" W10 BACKLIT",Asus,A409JA,,4,256,,,6288000,,new,HOSANA COMPUTER,5.0,,False,6,Jakarta Pusat,2026-08-29T10:58:46.186952,False,
tokopedia,103066236612,https://www.tokopedia.com/studiolaptop/asus-expertbook-p1403cva-intel-core-i7-13620h-core-5-210h-i5-13420h-210h-core-i3-100u-1315-16gb-1tb-512gb-win-11-office-laptop-bisnis-garansi-resmi-cocok-untuk-sekolah-kerja-editing-1734446786183595847?extParam=ivf%3Dfalse%26keyword%3Dlaptop+asus%26search_id%3D20260829105837B83AAC23B95287061YK7%26src%3Dsearch,ASUS EXPERTBOOK P1403CVA INTEL CORE 5 210H CORE 100U I5 I3 16GB 1TB 512GB WIN 11 OFFICE - LAPTOP BISNIS GARANSI RESMI COCOK UNTUK SEKOLAH KERJA EDITING,Asus,P1403CVA,Intel Core i5-210H,16,1024,,,9829000,,new,Studio Laptop,5.0,,False,250,Jakarta Pusat,2026-08-29T10:58:46.187163,False,
tokopedia,102843711144,https://www.tokopedia.com/kingznotebook/laptop-asus-vivobook-14-a1404vap-core-5-120u-16gb-512gb-ssd-w11-ohs-14-fhd-ips-1733990122639230636?extParam=ivf%3Dfalse%26keyword%3Dlaptop+asus%26search_id%3D20260829105837B83AAC23B95287061YK7%26src%3Dsearch,"Laptop Asus VivoBook 14 A1404VAP Core 5 120U 16GB 512GB SSD W11+OHS 14""FHD IPS",Asus,A1404VAP,Intel Core i5-120U,16,512,,14.0,12209000,,new,Kingz Notebook,5.0,,False,10,Jakarta Pusat,2026-08-29T10:58:46.187297,False,
tokopedia,14258016939,https://www.tokopedia.com/kingznotebook/laptop-asus-tuf-a15-fa506ncr-ryzen-7-7435hs-16gb-512gb-rtx3050-4gb-w11-ohs-15-6-fhd-notebook-1731005223645316780?extParam=ivf%3Dfalse%26keyword%3Dlaptop+asus%26search_id%3D20260829105837B83AAC23B95287061YK7%26src%3Dsearch,"Laptop Asus Tuf A15 FA506NCG Ryzen 7 7445HS 16GB 512GB RTX3050 4GB W11+OHS 15.6"" FHD",Asus,FA506NCG,AMD Ryzen 7 7445HS,16,512,RTX3050,,16879000,,new,Kingz Notebook,5.0,,False,21,Jakarta Pusat,2026-08-29T10:58:46.187480,False,
